period;position;party;name;n.position;interval;date;month;check;dupes;check2
RAZDOBLJE 1998. – 2000. godine;Co-Chair;SP;SVETOZAR MIHAJLOVIĆ;2;NA;NA;1999-11-01;2;  35;0
RAZDOBLJE 1998. – 2000. godine;Co-Chair;SP;SVETOZAR MIHAJLOVIĆ;2;NA;NA;1999-12-01;2;  36;0
RAZDOBLJE 1998. – 2000. godine;Co-Chair;SP;SVETOZAR MIHAJLOVIĆ;2;NA;NA;2000-01-01;2;  37;0
RAZDOBLJE 1998. – 2000. godine;Co-Chair;SP;SVETOZAR MIHAJLOVIĆ;2;NA;NA;2000-02-01;2;  38;0
RAZDOBLJE 1998. – 2000. godine;Co-Chair;SP;SVETOZAR MIHAJLOVIĆ;2;NA;NA;2000-03-01;2;  39;0
RAZDOBLJE 1998. – 2000. godine;Co-Chair;SP;SVETOZAR MIHAJLOVIĆ;2;NA;NA;2000-04-01;2;  40;0
RAZDOBLJE 1998. – 2000. godine;Co-Chair;SP;SVETOZAR MIHAJLOVIĆ;2;date.end;2000-05-05;2000-05-01;2;  41;0
RAZDOBLJE 1998. – 2000. godine;Vice-Chair;HDZ;NEVEN TOMIĆ;1;date.start;1999-02-03;1999-02-01;2;  67;0
RAZDOBLJE 1998. – 2000. godine;Vice-Chair;HDZ;NEVEN TOMIĆ;1;NA;NA;1999-03-01;1;  68;0
RAZDOBLJE 1998. – 2000. godine;Vice-Chair;HDZ;NEVEN TOMIĆ;1;NA;NA;1999-04-01;1;  69;0
RAZDOBLJE 1998. – 2000. godine;Vice-Chair;HDZ;NEVEN TOMIĆ;1;NA;NA;1999-05-01;1;  70;0
RAZDOBLJE 1998. – 2000. godine;Vice-Chair;HDZ;NEVEN TOMIĆ;1;NA;NA;1999-06-01;1;  71;0
RAZDOBLJE 1998. – 2000. godine;Vice-Chair;HDZ;NEVEN TOMIĆ;1;NA;NA;1999-07-01;1;  72;0
RAZDOBLJE 1998. – 2000. godine;Vice-Chair;HDZ;NEVEN TOMIĆ;1;NA;NA;1999-08-01;1;  73;0
RAZDOBLJE 1998. – 2000. godine;Vice-Chair;HDZ;NEVEN TOMIĆ;1;NA;NA;1999-09-01;1;  74;0
