id;value;id2
"c(""134899_1.png"", ""134899_2.png"")";134899_2.png;134899
"c(""134904_1.png"", ""134904_2.png"")";134904_1.png;134904
"c(""134904_1.png"", ""134904_2.png"")";134904_2.png;134904
"c(""134905_1.png"", ""134905_2.png"")";134905_1.png;134905
"c(""134905_1.png"", ""134905_2.png"")";134905_2.png;134905
"c(""134906_1.png"", ""134906_2.png"")";134906_1.png;134906
"c(""134906_1.png"", ""134906_2.png"")";134906_2.png;134906
135175_1.png;135175_1.png;135175
135180_1.png;135180_1.png;135180
135185_1.png;135185_1.png;135185
135186_1.png;135186_1.png;135186
135189_1.png;135189_1.png;135189
135190_1.png;135190_1.png;135190
135775_1.png;135775_1.png;135775
136418_1.png;136418_1.png;136418
136421_1.png;136421_1.png;136421
136422_1.png;136422_1.png;136422
136423_1.png;136423_1.png;136423
136424_1.png;136424_1.png;136424
"c(""136620_1.png"", ""136620_2.png"")";136620_1.png;136620
"c(""136620_1.png"", ""136620_2.png"")";136620_2.png;136620
"c(""136622_1.png"", ""136622_2.png"")";136622_1.png;136622
"c(""136622_1.png"", ""136622_2.png"")";136622_2.png;136622
"c(""136623_1.png"", ""136623_2.png"")";136623_1.png;136623
"c(""136623_1.png"", ""136623_2.png"")";136623_2.png;136623
"c(""136636_1.png"", ""136636_2.png"")";136636_1.png;136636
"c(""136636_1.png"", ""136636_2.png"")";136636_2.png;136636
"c(""136637_1.png"", ""136637_2.png"")";136637_1.png;136637
"c(""136637_1.png"", ""136637_2.png"")";136637_2.png;136637
"c(""136638_1.png"", ""136638_2.png"")";136638_1.png;136638
"c(""136638_1.png"", ""136638_2.png"")";136638_2.png;136638
"c(""136639_1.png"", ""136639_2.png"")";136639_1.png;136639
"c(""136639_1.png"", ""136639_2.png"")";136639_2.png;136639
"c(""136640_1.png"", ""136640_2.png"")";136640_1.png;136640
"c(""136640_1.png"", ""136640_2.png"")";136640_2.png;136640
"c(""136641_1.png"", ""136641_2.png"")";136641_1.png;136641
"c(""136641_1.png"", ""136641_2.png"")";136641_2.png;136641
"c(""136643_1.png"", ""136643_2.png"")";136643_1.png;136643
"c(""136643_1.png"", ""136643_2.png"")";136643_2.png;136643
"c(""136646_1.png"", ""136646_2.png"")";136646_1.png;136646
"c(""136646_1.png"", ""136646_2.png"")";136646_2.png;136646
138689_1.png;138689_1.png;138689
138690_1.png;138690_1.png;138690
138691_1.png;138691_1.png;138691
138692_1.png;138692_1.png;138692
138694_1.png;138694_1.png;138694
138695_1.png;138695_1.png;138695
138697_1.png;138697_1.png;138697
138712_1.png;138712_1.png;138712
"c(""138750_1.png"", ""138750_2.png"")";138750_1.png;138750
"c(""138750_1.png"", ""138750_2.png"")";138750_2.png;138750
"c(""138751_1.png"", ""138751_2.png"")";138751_1.png;138751
