year,district.name,district.id,party,votes.redovni,votes.postom,votes.odsustvo.mobilni.tim,votes.potvrdeni,seats,minority,minority.elected
2008,Bosanski Samac,21,"Hrvatska Koalicija - HDZBiH, HSS-NHI, HDZ 1990",235,259,2,0,2,,
2008,Bosanski Samac,21,Nezavisna Stranka Dr. Mihaljo Tovirac,492,0,2,0,2,,
2008,Bosanski Samac,21,Srpska Radikalna Stranka Republike Srpske,321,0,0,0,1,,
2008,Bosanski Samac,21,Socijalisticka Partija,316,0,1,0,1,,
2008,Bosanski Samac,21,Savez SDA-S BiH,219,15,11,0,0,,
2008,Bosanski Samac,21,Penzionerska Stranka Republike Strpske,148,2,1,0,0,,
2008,Bosanski Samac,21,Socijaldemokratska Partija Bosne i Hercegovine,128,14,1,0,0,,
2008,Bosanski Samac,21,Srpska Demokratska Stranka 1990 - Izvorna - Pokret za Srbsku,84,0,0,0,0,,
2008,Bosanski Samac,21,Nezavisna Demokratska Stranka,79,0,1,0,0,,
2008,Bosanski Samac,21,Srpska Radikalna Stranka Dr. Vojislav Seselj,59,0,0,0,0,,
2008,Bosanski Samac,21,Narodna Stranka Radom za Boljitak,57,0,0,0,0,,
2008,Orasje,22,Hrvatska Demokratska Zajednica BiH,2808,3,31,1,10,,
2008,Orasje,22,Hrvatska Demokratska Zajednica 1990,2123,4,44,6,8,,
2008,Orasje,22,HSS - NHI,862,11,11,2,3,,
2008,Orasje,22,Nezavisna Lista Glas za Orasje,330,1,9,0,1,,
2008,Orasje,22,Hrvatska Stranka Prava Posavine,324,0,0,0,1,,
2008,Orasje,22,Narodna Stranka Radom za Boljitak,266,0,1,1,1,,
2008,Orasje,22,Stranka Demokratske Akcije,249,1,4,0,1,,
2008,Orasje,22,Stranka za Bosnu i Hercegovinu,207,0,2,0,0,,
2008,Orasje,22,Demokratska Stranka Invalida Tuzla,184,0,8,0,0,,
2008,Orasje,22,Socijaldemokratska Partija Bosne i Hercegovine,158,2,2,0,0,,
2008,Orasje,22,Hrvatska Stranka Prava Bosne i Hercegovine - Dapic - Dr. Jurisic,79,0,1,0,0,,
2008,Orasje / Donji Zabar,23,Savez Nezavisnih Socijaldemokrata - SNSD - Milorad Dodik,485,0,0,6,6,,
2008,Orasje / Donji Zabar,23,Srpska Demokratska Stranka,478,0,0,1,5,,
2008,Orasje / Donji Zabar,23,Partija Demokratskog Progresa,107,0,0,0,1,,
2008,Orasje / Donji Zabar,23,Demokratski Narodni Savez,103,0,0,1,1,,
2008,Orasje / Donji Zabar,23,Srpska Radikalna Stranka Dr. Vojislav Seselj,97,0,0,2,1,,
2008,Orasje / Donji Zabar,23,Demokratska Stranka,55,0,0,1,1,,
2008,Orasje / Donji Zabar,23,Socijalisticka Partija,44,0,0,0,0,,
2008,Orasje / Donji Zabar,23,Srpska Partija ,44,0,0,0,0,,
2008,Orasje / Donji Zabar,23,Srpska Radikalna Stranka Republike Srpske,34,0,0,0,0,,
2008,Orasje / Donji Zabar,23,Narodna Stranka Radom za Boljitak,20,0,0,0,0,,
2008,Modrica,24,Savez Nezavisnih Socijaldemokrata - SNSD - Milorad Dodik,4821,5,6,7,10,,
2008,Modrica,24,Srpska Demokratska Stranka,3955,0,12,10,9,,
2008,Modrica,24,Socijalisticka Partija,1356,24,4,0,3,,
2008,Modrica,24,Partija Demokratskog Progresa,635,0,0,0,1,,
2008,Modrica,24,Savez SDA-S BiH,540,35,7,0,1,,
2008,Modrica,24,"Hrvatska Koalicija - HDZBiH, HSS-NHI, HDZ 1990",243,253,4,2,1,,
2008,Modrica,24,Socijaldemokratska Partija Bosne i Hercegovine,426,48,7,0,1,,
2008,Modrica,24,Narodna Stranka Radom za Boljitak,361,0,4,0,0,,
2008,Modrica,24,Srpska Radikalna Stranka Dr. Vojislav Seselj,237,0,0,0,0,,
2008,Modrica,24,Vidan Radulovic,157,0,0,0,0,,
2008,Modrica,24,Penzionerska Stranka Republike Strpske,123,0,2,2,0,,
2008,Modrica,24,Srpska Radikalna Stranka Republike Srpske,113,0,0,0,0,,
2008,Modrica,24,Demokratski Narodni Savez,103,0,0,0,0,,
2008,Modrica,24,Demokratska Stranka Invalida Tuzla,23,1,0,0,0,,
