year,district.name,district.id,party,votes.in.municipality,votes.out.municipality,control sum,seats
1997,Brcko,28,Srpska Patriotska Stranka - SPAS,132,17,149,0
1997,Brcko,28,HDZ BiH,73,1860,1933,3
1997,Brcko,28,BOSS - Bosanska Stranka,29,34,63,0
1997,Brcko,28,SNS RS,138,17,155,0
1997,Brcko,28,Srpski Demokratski Savez RS,369,29,398,0
1997,Brcko,28,Narodna Radikalna Stranka Nikola Pasic,246,19,265,0
1997,Brcko,28,Srpski Otadzbinski Front - (SOF),22,5,27,0
1997,Brcko,28,Izbjeglicka Stranka RS,111,26,137,0
1997,Brcko,28,Srpska Seljacka Stranka,61,7,68,0
1997,Brcko,28,Socijalisticka Partija Republike Srpske (SPRS) Banja Luka,3082,273,3355,6
1997,Brcko,28,Nezavisna Stranka Republike Srpske,44,7,51,0
1997,Brcko,28,Narodna Stranka R.S-e,54,13,67,0
1997,Brcko,28,SPD RS,99,32,131,0
1997,Brcko,28,"Zdruzena Lista '97 (UBSD, HSS BiH, MBO BiH, Republikanska Stranka i SPP BiH)",199,385,584,0
1997,Brcko,28,"Koalicija za Cjevlovitu i Demokratsku Bosnu i Hercegovinu (SDA BiH, S BiH, Liberali BiH, GDS)",2242,7401,9643,16
1997,Brcko,28,Udruzena Ljevica,58,14,72,0
1997,Brcko,28,Miroslav Vracevic,34,24,58,0
1997,Bijeljina,29,SDP BiH,102,304,406,0
1997,Bijeljina,29,Srpska Radikalna Stranka Republike Srpske,13499,704,14203,14
1997,Bijeljina,29,Srpska Demokratska Stranka (Srpskih Zemalja),18841,840,19681,19
